# sealsonline.com/en/flabed — old category URL scheme → live scheme (verified live 2026-09-26)
# Paths are relative to https://www.sealsonline.com/en/flabed/categories/
# old scheme: {inch|metric}/{group}[/{profile}] and hard-parts/{group}; live scheme: {group}/{group}-{inch|metric}[/{profile}]
# note: exact = same profile slug; parent = profile no longer on the live site, send to its sub-category page
old_path,new_path,what,note
inch/o-rings,o-rings/o-rings-inch,category,moved
metric/o-rings,o-rings/o-rings-metric,category,moved
hard-parts/weld-on-ports,weld-on-ports,category,moved
hard-parts/hardened-steel-bushings-i,hardened-steel-bushings/hardened-steel-bushings-inch,category,moved
hard-parts/hardened-steel-bushings-m,hardened-steel-bushings/hardened-steel-bushings-metric,category,moved
hard-parts/hardened-steel-shim,hardened-steel-shim,category,moved
hard-parts/lock-nuts,lock-nuts,category,moved
metric/metal-face-seal/dc,shaft-seals/metal-face-seal/dc,category,moved
metric/metal-face-seal/df,shaft-seals/metal-face-seal/df,category,moved
metric/guiding-elements/du,guiding-elements/guiding-elements-metric/du,category,moved
inch/guiding-elements/sbb,spherical-ball-bushing/spherical-ball-bushings-inch/sbb,category,moved
inch/guiding-elements/sbb-2-rs,spherical-ball-bushing/spherical-ball-bushings-inch/sbb-2-rs,category,moved
inch/guiding-elements/du-bearing,guiding-elements/guiding-elements-inch/du-bearing,category,moved
metric/guiding-elements/ge-es-2-rs,spherical-ball-bushing/spherical-ball-bushings-metric/ge-es-2-rs,category,moved
metric/v-rings,shaft-seals/v-rings,category,moved
inch/rod-wipers,rod-wipers/rod-wipers-inch,category,moved
metric/rod-wipers,rod-wipers/rod-wipers-metric,category,moved
inch/rod-seals,rod-seals/rod-seals-inch,category,moved
metric/rod-seals,rod-seals/rod-seals-metric,category,moved
inch/symmetrical-seals,symmetrical-seals/symmetrical-seals-inch,category,moved
metric/symmetrical-seals,symmetrical-seals/symmetrical-seals-metric,category,moved
inch/piston-seals,piston-seals/piston-seals-inch,category,moved
metric/piston-seals,piston-seals/piston-seals-metric,category,moved
inch/vee-packings,vee-packings/vee-packings-inch,category,moved
metric/vee-packings,vee-packings/vee-packings-metric,category,moved
inch/guiding-elements,guiding-elements/guiding-elements-inch,category,moved
metric/guiding-elements,guiding-elements/guiding-elements-metric,category,moved
inch/shaft-seals,shaft-seals/shaft-seals-inch,category,moved
metric/shaft-seals,shaft-seals/shaft-seals-metric,category,moved
inch/rod-wipers/an,rod-wipers/rod-wipers-inch/an,profile AN,exact
inch/rod-wipers/d,rod-wipers/rod-wipers-inch/d,profile D,exact
inch/rod-wipers/d-30-k,rod-wipers/rod-wipers-inch,profile D 30K,parent
inch/rod-wipers/h,rod-wipers/rod-wipers-inch/h,profile H,exact
inch/rod-wipers/k,rod-wipers/rod-wipers-inch/k,profile K,exact
inch/rod-wipers/d-and-k-wiper-cord,rod-wipers/rod-wipers-inch/d-k-wiper-cord,profile D & K Wiper Cord,renamed
inch/rod-wipers/ex-1,rod-wipers/rod-wipers-inch/ex-1,profile EX1,exact
inch/rod-wipers/ex-2,rod-wipers/rod-wipers-inch/ex-2,profile EX2,exact
inch/rod-wipers/ex-5,rod-wipers/rod-wipers-inch/ex-5,profile EX5,exact
inch/rod-wipers/bw-s,rod-wipers/rod-wipers-inch/bw-s,profile BW/S,exact
inch/rod-wipers/j,rod-wipers/rod-wipers-inch/j,profile J,exact
inch/rod-wipers/j-30-k,rod-wipers/rod-wipers-inch,profile J 30K,parent
inch/rod-wipers/j-n,rod-wipers/rod-wipers-inch,profile J/N,parent
inch/rod-wipers/j-dl,rod-wipers/rod-wipers-inch/j-dl,profile J/DL,exact
inch/rod-wipers/j-dl-30-k,rod-wipers/rod-wipers-inch,profile J/DL 30K,parent
metric/rod-wipers/wa,rod-wipers/rod-wipers-metric/wa,profile WA,exact
metric/rod-wipers/wc,rod-wipers/rod-wipers-metric/wc,profile WC,exact
metric/rod-wipers/wb,rod-wipers/rod-wipers-metric/wb,profile WB,exact
metric/rod-wipers/wg,rod-wipers/rod-wipers-metric/wg,profile WG,exact
metric/rod-wipers/wn,rod-wipers/rod-wipers-metric/wn,profile WN,exact
metric/rod-wipers/wo,rod-wipers/rod-wipers-metric/wo,profile WO,exact
metric/rod-wipers/ws,rod-wipers/rod-wipers-metric/ws,profile WS,exact
metric/rod-wipers/wr,rod-wipers/rod-wipers-metric/wr,profile WR,exact
metric/rod-wipers/wt,rod-wipers/rod-wipers-metric/wt,profile WT,exact
metric/rod-wipers/wv,rod-wipers/rod-wipers-metric/wv,profile WV,exact
metric/rod-wipers/ww,rod-wipers/rod-wipers-metric/ww,profile WW,exact
metric/rod-wipers/ppw,rod-wipers/rod-wipers-metric/ppw,profile PPW,exact
inch/rod-seals/ur,rod-seals/rod-seals-inch/ur,profile UR,exact
inch/rod-seals/ur-30-k,rod-seals/rod-seals-inch,profile UR 30K,parent
inch/rod-seals/e-5,rod-seals/rod-seals-inch/e-5,profile E5,exact
inch/rod-seals/bs,rod-seals/rod-seals-inch/bs,profile BS,exact
inch/rod-seals/bs-30-k,rod-seals/rod-seals-inch,profile BS 30K,parent
inch/rod-seals/bs-3-l,rod-seals/rod-seals-inch/bs-3-l,profile BS/3L,exact
inch/rod-seals/bs-sl,rod-seals/rod-seals-inch/bs-sl,profile BS/SL,exact
inch/rod-seals/re,rod-seals/rod-seals-inch/re,profile RE,exact
inch/rod-seals/bt,rod-seals/rod-seals-inch/bt,profile BT,exact
inch/rod-seals/br,rod-seals/rod-seals-inch/br,profile BR,exact
inch/rod-seals/hby,rod-seals/rod-seals-inch/hby,profile HBY,exact
inch/rod-seals/hby-30-k,rod-seals/rod-seals-inch,profile HBY 30K,parent
inch/rod-seals/cat-seal-ring,rod-seals/rod-seals-inch/cat-seal-ring,profile CAT Seal Ring,exact
inch/rod-seals/cat-step-seal,rod-seals/rod-seals-inch/cat-step-seal,profile CAT Step Seal,exact
inch/rod-seals/rss,rod-seals/rod-seals-inch/rss,profile RSS,exact
inch/rod-seals/r-2-b,rod-seals/rod-seals-inch/r-2-b,profile R2B,exact
inch/rod-seals/tr,rod-seals/rod-seals-inch/tr,profile TR,exact
inch/rod-seals/v-6,rod-seals/rod-seals-inch/v-6,profile V6,exact
metric/rod-seals/ra,rod-seals/rod-seals-metric/ra,profile RA,exact
metric/rod-seals/ra-n,rod-seals/rod-seals-metric/ra-n,profile RA/N,exact
metric/rod-seals/rc,rod-seals/rod-seals-metric/rc,profile RC,exact
metric/rod-seals/rc-30-k,rod-seals/rod-seals-metric,profile RC/30K,parent
metric/rod-seals/rc-aer,rod-seals/rod-seals-metric/rc-aer,profile RC/AER,exact
metric/rod-seals/re,rod-seals/rod-seals-metric/re,profile RE,exact
